jan,JOAO THOMÉ,2012,146120.00
jan,JOAO THOMÉ,2013,146405.00
jan,JOAO THOMÉ,2014,184145.00
jan,JOAO THOMÉ,2015,192590.00
jan,JOAO THOMÉ,2016,136208.00
jan,JOAO THOMÉ,2017,160506.00
jan,JOAO THOMÉ,2018,160224.00
jan,JOAO THOMÉ,2019,155081.00
jan,JOAO THOMÉ,2020,168523.00
jan,JOAO THOMÉ,2021,125498.00
jan,JOAO THOMÉ,2022,101395.00
fev,JOAO THOMÉ,2012,130070.00
fev,JOAO THOMÉ,2013,113874.00
fev,JOAO THOMÉ,2014,169010.00
fev,JOAO THOMÉ,2015,163610.00
fev,JOAO THOMÉ,2016,158130.00
fev,JOAO THOMÉ,2017,138500.00
fev,JOAO THOMÉ,2018,133250.00
fev,JOAO THOMÉ,2019,140414.00
fev,JOAO THOMÉ,2020,172552.00
fev,JOAO THOMÉ,2021,88814.00
fev,JOAO THOMÉ,2022,91745.00
mar,JOAO THOMÉ,2012,130430.00
mar,JOAO THOMÉ,2013,144341.00
mar,JOAO THOMÉ,2014,112450.00
mar,JOAO THOMÉ,2015,142390.00
mar,JOAO THOMÉ,2016,137937.00
mar,JOAO THOMÉ,2017,134696.00
mar,JOAO THOMÉ,2018,129130.00
mar,JOAO THOMÉ,2019,147582.00
mar,JOAO THOMÉ,2020,119541.00
mar,JOAO THOMÉ,2021,48027.00
mar,JOAO THOMÉ,2022,124938.00
abr,JOAO THOMÉ,2012,132300.00
abr,JOAO THOMÉ,2013,108630.00
abr,JOAO THOMÉ,2014,173880.00
abr,JOAO THOMÉ,2015,138126.00
abr,JOAO THOMÉ,2016,109045.00
abr,JOAO THOMÉ,2017,133176.00
abr,JOAO THOMÉ,2018,139252.00
abr,JOAO THOMÉ,2019,149186.00
abr,JOAO THOMÉ,2020,20539.00
abr,JOAO THOMÉ,2021,51419.00
abr,JOAO THOMÉ,2022,110703.00
mai,JOAO THOMÉ,2012,118430.00
mai,JOAO THOMÉ,2013,136100.00
mai,JOAO THOMÉ,2014,138710.00
mai,JOAO THOMÉ,2015,125852.00
mai,JOAO THOMÉ,2016,136396.00
mai,JOAO THOMÉ,2017,141058.00
mai,JOAO THOMÉ,2018,130934.00
mai,JOAO THOMÉ,2019,138558.00
mai,JOAO THOMÉ,2020,332.00
mai,JOAO THOMÉ,2021,64790.00
mai,JOAO THOMÉ,2022,113928.00
jun,JOAO THOMÉ,2012,138600.00
jun,JOAO THOMÉ,2013,114930.00
jun,JOAO THOMÉ,2014,169740.00
jun,JOAO THOMÉ,2015,135432.00
jun,JOAO THOMÉ,2016,147220.00
jun,JOAO THOMÉ,2017,147220.00
jun,JOAO THOMÉ,2018,141090.00
jun,JOAO THOMÉ,2019,142331.00
jun,JOAO THOMÉ,2020,8699.00
jun,JOAO THOMÉ,2021,75416.00
jun,JOAO THOMÉ,2022,147413.00
jul,JOAO THOMÉ,2012,181740.00
jul,JOAO THOMÉ,2013,195630.00
jul,JOAO THOMÉ,2014,165800.00
jul,JOAO THOMÉ,2015,189686.00
jul,JOAO THOMÉ,2016,177688.00
jul,JOAO THOMÉ,2017,201122.00
jul,JOAO THOMÉ,2018,197242.00
jul,JOAO THOMÉ,2019,192214.00
jul,JOAO THOMÉ,2020,23889.00
jul,JOAO THOMÉ,2021,125825.00
jul,JOAO THOMÉ,2022,146221.00
ago,JOAO THOMÉ,2012,121125.00
ago,JOAO THOMÉ,2013,129970.00
ago,JOAO THOMÉ,2014,162310.00
ago,JOAO THOMÉ,2015,153950.00
ago,JOAO THOMÉ,2016,158988.00
ago,JOAO THOMÉ,2017,141568.00
ago,JOAO THOMÉ,2018,125216.30
ago,JOAO THOMÉ,2019,238033.00
ago,JOAO THOMÉ,2020,72564.00
ago,JOAO THOMÉ,2021,101928.00
ago,JOAO THOMÉ,2022,130468.00
set,JOAO THOMÉ,2012,128590.00
set,JOAO THOMÉ,2013,133375.00
set,JOAO THOMÉ,2014,142400.00
set,JOAO THOMÉ,2015,126732.00
set,JOAO THOMÉ,2016,151076.00
set,JOAO THOMÉ,2017,132840.00
set,JOAO THOMÉ,2018,138373.69
set,JOAO THOMÉ,2019,186032.00
set,JOAO THOMÉ,2020,96024.00
set,JOAO THOMÉ,2021,126843.00
set,JOAO THOMÉ,2022,
out,JOAO THOMÉ,2012,140806.00
out,JOAO THOMÉ,2013,156125.00
out,JOAO THOMÉ,2014,170130.00
out,JOAO THOMÉ,2015,140364.00
out,JOAO THOMÉ,2016,144960.00
out,JOAO THOMÉ,2017,183548.00
out,JOAO THOMÉ,2018,160476.33
out,JOAO THOMÉ,2019,186797.00
out,JOAO THOMÉ,2020,103033.00
out,JOAO THOMÉ,2021,100903.00
out,JOAO THOMÉ,2022,
nov,JOAO THOMÉ,2012,133854.00
nov,JOAO THOMÉ,2013,154664.00
nov,JOAO THOMÉ,2014,126716.00
nov,JOAO THOMÉ,2015,136906.00
nov,JOAO THOMÉ,2016,146814.00
nov,JOAO THOMÉ,2017,123604.00
nov,JOAO THOMÉ,2018,134383.10
nov,JOAO THOMÉ,2019,166436.00
nov,JOAO THOMÉ,2020,115764.00
nov,JOAO THOMÉ,2021,125334.00
nov,JOAO THOMÉ,2022,
dez,JOAO THOMÉ,2012,186416.00
dez,JOAO THOMÉ,2013,217368.00
dez,JOAO THOMÉ,2014,239814.00
dez,JOAO THOMÉ,2015,204044.00
dez,JOAO THOMÉ,2016,201548.00
dez,JOAO THOMÉ,2017,212116.00
dez,JOAO THOMÉ,2018,204395.85
dez,JOAO THOMÉ,2019,251910.00
dez,JOAO THOMÉ,2020,177233.00
dez,JOAO THOMÉ,2021,174218.00
dez,JOAO THOMÉ,2022,
jan,ANT. BEZERRA,2012,42000.00
jan,ANT. BEZERRA,2013,44980.00
jan,ANT. BEZERRA,2014,49808.00
jan,ANT. BEZERRA,2015,49650.00
jan,ANT. BEZERRA,2016,44120.00
jan,ANT. BEZERRA,2017,48818.00
jan,ANT. BEZERRA,2018,44100.00
jan,ANT. BEZERRA,2019,37083.00
jan,ANT. BEZERRA,2020,40298.00
jan,ANT. BEZERRA,2021,30010.00
jan,ANT. BEZERRA,2022,24246.00
fev,ANT. BEZERRA,2012,37530.00
fev,ANT. BEZERRA,2013,37205.00
fev,ANT. BEZERRA,2014,44115.00
fev,ANT. BEZERRA,2015,44925.00
fev,ANT. BEZERRA,2016,33360.00
fev,ANT. BEZERRA,2017,31780.00
fev,ANT. BEZERRA,2018,33242.00
fev,ANT. BEZERRA,2019,33576.00
fev,ANT. BEZERRA,2020,41261.00
fev,ANT. BEZERRA,2021,21238.00
fev,ANT. BEZERRA,2022,21938.00
mar,ANT. BEZERRA,2012,38980.00
mar,ANT. BEZERRA,2013,41402.00
mar,ANT. BEZERRA,2014,35688.00
mar,ANT. BEZERRA,2015,39195.00
mar,ANT. BEZERRA,2016,40452.00
mar,ANT. BEZERRA,2017,32870.00
mar,ANT. BEZERRA,2018,31958.00
mar,ANT. BEZERRA,2019,35290.00
mar,ANT. BEZERRA,2020,28585.00
mar,ANT. BEZERRA,2021,11484.00
mar,ANT. BEZERRA,2022,29876.00
abr,ANT. BEZERRA,2012,41990.00
abr,ANT. BEZERRA,2013,35590.00
abr,ANT. BEZERRA,2014,45454.00
abr,ANT. BEZERRA,2015,38600.00
abr,ANT. BEZERRA,2016,34508.00
abr,ANT. BEZERRA,2017,31820.00
abr,ANT. BEZERRA,2018,31450.00
abr,ANT. BEZERRA,2019,35674.00
abr,ANT. BEZERRA,2020,4911.00
abr,ANT. BEZERRA,2021,12295.00
abr,ANT. BEZERRA,2022,26472.00
mai,ANT. BEZERRA,2012,43570.00
mai,ANT. BEZERRA,2013,39489.00
mai,ANT. BEZERRA,2014,41790.00
mai,ANT. BEZERRA,2015,42400.00
mai,ANT. BEZERRA,2016,37405.00
mai,ANT. BEZERRA,2017,34005.00
mai,ANT. BEZERRA,2018,29230.00
mai,ANT. BEZERRA,2019,33132.00
mai,ANT. BEZERRA,2020,79.00
mai,ANT. BEZERRA,2021,15493.00
mai,ANT. BEZERRA,2022,27243.00
jun,ANT. BEZERRA,2012,37160.00
jun,ANT. BEZERRA,2013,36840.00
jun,ANT. BEZERRA,2014,35140.00
jun,ANT. BEZERRA,2015,37900.00
jun,ANT. BEZERRA,2016,31730.00
jun,ANT. BEZERRA,2017,33375.00
jun,ANT. BEZERRA,2018,38220.00
jun,ANT. BEZERRA,2019,34034.00
jun,ANT. BEZERRA,2020,2080.00
jun,ANT. BEZERRA,2021,18034.00
jun,ANT. BEZERRA,2022,35250.00
jul,ANT. BEZERRA,2012,53930.00
jul,ANT. BEZERRA,2013,49845.00
jul,ANT. BEZERRA,2014,50280.00
jul,ANT. BEZERRA,2015,56675.00
jul,ANT. BEZERRA,2016,45125.00
jul,ANT. BEZERRA,2017,35950.00
jul,ANT. BEZERRA,2018,46500.00
jul,ANT. BEZERRA,2019,45963.00
jul,ANT. BEZERRA,2020,5713.00
jul,ANT. BEZERRA,2021,30088.00
jul,ANT. BEZERRA,2022,34965.00
ago,ANT. BEZERRA,2012,45370.00
ago,ANT. BEZERRA,2013,43585.00
ago,ANT. BEZERRA,2014,42250.00
ago,ANT. BEZERRA,2015,46705.00
ago,ANT. BEZERRA,2016,39370.00
ago,ANT. BEZERRA,2017,41150.00
ago,ANT. BEZERRA,2018,29089.35
ago,ANT. BEZERRA,2019,56919.00
ago,ANT. BEZERRA,2020,17352.00
ago,ANT. BEZERRA,2021,24373.00
ago,ANT. BEZERRA,2022,31198.00
set,ANT. BEZERRA,2012,37826.00
set,ANT. BEZERRA,2013,39829.00
set,ANT. BEZERRA,2014,47698.00
set,ANT. BEZERRA,2015,35343.00
set,ANT. BEZERRA,2016,29228.00
set,ANT. BEZERRA,2017,32350.00
set,ANT. BEZERRA,2018,32145.98
set,ANT. BEZERRA,2019,44484.00
set,ANT. BEZERRA,2020,22962.00
set,ANT. BEZERRA,2021,30331.00
set,ANT. BEZERRA,2022,
out,ANT. BEZERRA,2012,47504.00
out,ANT. BEZERRA,2013,43434.00
out,ANT. BEZERRA,2014,48950.00
out,ANT. BEZERRA,2015,47492.00
out,ANT. BEZERRA,2016,30877.00
out,ANT. BEZERRA,2017,34150.00
out,ANT. BEZERRA,2018,37280.71
out,ANT. BEZERRA,2019,44667.00
out,ANT. BEZERRA,2020,24638.00
out,ANT. BEZERRA,2021,24128.00
out,ANT. BEZERRA,2022,
nov,ANT. BEZERRA,2012,36359.00
nov,ANT. BEZERRA,2013,40732.00
nov,ANT. BEZERRA,2014,39922.00
nov,ANT. BEZERRA,2015,34335.00
nov,ANT. BEZERRA,2016,36767.00
nov,ANT. BEZERRA,2017,29050.00
nov,ANT. BEZERRA,2018,31218.92
nov,ANT. BEZERRA,2019,39799.00
nov,ANT. BEZERRA,2020,27682.00
nov,ANT. BEZERRA,2021,29970.00
nov,ANT. BEZERRA,2022,
dez,ANT. BEZERRA,2012,64866.00
dez,ANT. BEZERRA,2013,68277.00
dez,ANT. BEZERRA,2014,61730.00
dez,ANT. BEZERRA,2015,63740.00
dez,ANT. BEZERRA,2016,37450.00
dez,ANT. BEZERRA,2017,44450.00
dez,ANT. BEZERRA,2018,47483.77
dez,ANT. BEZERRA,2019,60237.00
dez,ANT. BEZERRA,2020,42381.00
dez,ANT. BEZERRA,2021,41660.00
dez,ANT. BEZERRA,2022,
jan,MESSEJANA,2012,18360.00
jan,MESSEJANA,2013,20680.00
jan,MESSEJANA,2014,24190.00
jan,MESSEJANA,2015,25335.00
jan,MESSEJANA,2016,25650.00
jan,MESSEJANA,2017,25182.00
jan,MESSEJANA,2018,25856.00
jan,MESSEJANA,2019,23795.58
jan,MESSEJANA,2020,25858.00
jan,MESSEJANA,2021,19256.00
jan,MESSEJANA,2022,15558.00
fev,MESSEJANA,2012,19760.00
fev,MESSEJANA,2013,19770.00
fev,MESSEJANA,2014,25374.00
fev,MESSEJANA,2015,21729.00
fev,MESSEJANA,2016,22160.00
fev,MESSEJANA,2017,23610.00
fev,MESSEJANA,2018,19398.00
fev,MESSEJANA,2019,21545.09
fev,MESSEJANA,2020,26476.00
fev,MESSEJANA,2021,13628.00
fev,MESSEJANA,2022,14077.00
mar,MESSEJANA,2012,18278.00
mar,MESSEJANA,2013,22750.00
mar,MESSEJANA,2014,20055.00
mar,MESSEJANA,2015,21065.00
mar,MESSEJANA,2016,21740.00
mar,MESSEJANA,2017,17990.00
mar,MESSEJANA,2018,23214.00
mar,MESSEJANA,2019,22644.92
mar,MESSEJANA,2020,18342.00
mar,MESSEJANA,2021,7369.00
mar,MESSEJANA,2022,19170.00
abr,MESSEJANA,2012,20892.00
abr,MESSEJANA,2013,18332.00
abr,MESSEJANA,2014,23222.00
abr,MESSEJANA,2015,20425.00
abr,MESSEJANA,2016,19340.00
abr,MESSEJANA,2017,23716.00
abr,MESSEJANA,2018,19182.00
abr,MESSEJANA,2019,22891.07
abr,MESSEJANA,2020,3151.00
abr,MESSEJANA,2021,7890.00
abr,MESSEJANA,2022,16986.00
mai,MESSEJANA,2012,18760.00
mai,MESSEJANA,2013,21393.00
mai,MESSEJANA,2014,20947.00
mai,MESSEJANA,2015,22325.00
mai,MESSEJANA,2016,21100.00
mai,MESSEJANA,2017,20930.00
mai,MESSEJANA,2018,22022.00
mai,MESSEJANA,2019,21260.30
mai,MESSEJANA,2020,51.00
mai,MESSEJANA,2021,9941.00
mai,MESSEJANA,2022,17481.00
jun,MESSEJANA,2012,20950.00
jun,MESSEJANA,2013,20530.00
jun,MESSEJANA,2014,20405.00
jun,MESSEJANA,2015,20115.00
jun,MESSEJANA,2016,18634.00
jun,MESSEJANA,2017,23054.00
jun,MESSEJANA,2018,21410.00
jun,MESSEJANA,2019,21839.28
jun,MESSEJANA,2020,1335.00
jun,MESSEJANA,2021,11572.00
jun,MESSEJANA,2022,22619.00
jul,MESSEJANA,2012,27600.00
jul,MESSEJANA,2013,26320.00
jul,MESSEJANA,2014,22194.00
jul,MESSEJANA,2015,30285.00
jul,MESSEJANA,2016,29198.00
jul,MESSEJANA,2017,29962.00
jul,MESSEJANA,2018,29010.00
jul,MESSEJANA,2019,29493.19
jul,MESSEJANA,2020,3666.00
jul,MESSEJANA,2021,19306.00
jul,MESSEJANA,2022,22436.00
ago,MESSEJANA,2012,21003.00
ago,MESSEJANA,2013,20220.00
ago,MESSEJANA,2014,20915.00
ago,MESSEJANA,2015,22260.00
ago,MESSEJANA,2016,22500.00
ago,MESSEJANA,2017,22604.00
ago,MESSEJANA,2018,19214.34
ago,MESSEJANA,2019,36523.71
ago,MESSEJANA,2020,11134.00
ago,MESSEJANA,2021,15640.00
ago,MESSEJANA,2022,20019.00
set,MESSEJANA,2012,20010.00
set,MESSEJANA,2013,18277.00
set,MESSEJANA,2014,21618.00
set,MESSEJANA,2015,20390.00
set,MESSEJANA,2016,26309.00
set,MESSEJANA,2017,23162.00
set,MESSEJANA,2018,21233.33
set,MESSEJANA,2019,28544.71
set,MESSEJANA,2020,14734.00
set,MESSEJANA,2021,19463.00
set,MESSEJANA,2022,
out,MESSEJANA,2012,23320.00
out,MESSEJANA,2013,21685.00
out,MESSEJANA,2014,23660.00
out,MESSEJANA,2015,23719.00
out,MESSEJANA,2016,22371.00
out,MESSEJANA,2017,22560.00
out,MESSEJANA,2018,24624.97
out,MESSEJANA,2019,28662.08
out,MESSEJANA,2020,15809.00
out,MESSEJANA,2021,15482.00
out,MESSEJANA,2022,
nov,MESSEJANA,2012,19535.00
nov,MESSEJANA,2013,22536.00
nov,MESSEJANA,2014,20940.00
nov,MESSEJANA,2015,20420.00
nov,MESSEJANA,2016,21666.00
nov,MESSEJANA,2017,19914.00
nov,MESSEJANA,2018,20620.98
nov,MESSEJANA,2019,25537.96
nov,MESSEJANA,2020,17763.00
nov,MESSEJANA,2021,19231.00
nov,MESSEJANA,2022,
dez,MESSEJANA,2012,30250.00
dez,MESSEJANA,2013,33696.00
dez,MESSEJANA,2014,33022.00
dez,MESSEJANA,2015,28710.00
dez,MESSEJANA,2016,33602.00
dez,MESSEJANA,2017,31190.00
dez,MESSEJANA,2018,31364.38
dez,MESSEJANA,2019,38652.96
dez,MESSEJANA,2020,27195.00
dez,MESSEJANA,2021,26732.00
dez,MESSEJANA,2022,
